,y_per_person,y_per_worker,rel_income_US
count,175.0,175.0,175.0
mean,26099.36449648919,55335.56529431694,0.35808055154374474
std,25152.34289236757,44491.03348220677,0.3450875141702361
min,159.07628189969992,293.9467395814711,0.002182509952218766
25%,6653.920313375125,18496.9788072145,0.09129109086399394
50%,17073.41484545108,42998.76692349174,0.23424546622262296
75%,38330.115381171585,81882.07552409814,0.5258851746475122
max,132543.24196642824,261683.27107804155,1.8184794190340912
